9694901 | Rhizobium | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9415082 | Pseudomonas | drought tolerance | tomato | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
8760038 | Paenibacillus polymyxa | Desiccation | Arabidopsis | According to the study of -REF-, inoculation of Arabidopsis and soybean with Paenibacillus polymyxa CR1 induced the expression of the drought-responsive genes Response to Desiccation 29A RD29A and Response to Desiccation 29B RD29B and improved drought resistance. | YES
9518148 | Enterobacter ludwigii | salt tolerance | rice | Halotolerant endophytic strains viz., Curtobacterium luteum SAK2, Curtobacterium oceanosedimentum SAK1, Bacillus cereus SA1, Enterobacter tabaci SA3, Enterobacter ludwigii SAK5, and Micrococcus yunnanensis SA2 resulted in a significant enhancement in growth and dry matter production of rice by increasing salt tolerance -REF-. | YES
7820118 | Streptococcus sciuri | salinity stress | tomato | Our results reveal the beneficial role of Streptococcus sciuri ET101 in protection of photosynthesis and amelioration of salinity stress responses in rice and tomato plants. | YES
7917748 | Bacillus | drought stress | maize | Pseudomonas induces drought tolerance in mung bean -REF- and salt tolerance in cotton plants -REF-.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance -REF-. | YES
7118072 | Penicillium brevicompactum | salt stress | tomato | We can, therefore, conclude that the two endophytes Penicillium brevicompactum and Penicillium chrysogenum mitigated salt stress in lettuce and tomato, provoking an efficient gain of carbon through a higher photosynthetic energy production and controlling the negative effect of sodium ions, likely by sequestration in vacuoles. | YES
11371581 | Bacillus subtilis | salinity | wheat | In wheat, PGPR strains such as Arthrobacter protophormiae SA3, Bacillus subtilis LDR2, and Dietzia natronolimnaea STR1 enhance drought and salinity tolerance by modifying the expression of genes and transcription factors related to the ET signaling pathway -REF-. | YES
7820118 | Streptococcus sciuri | Salinity | Rice | Streptococcus sciuri Protected Tomato and Rice Plants From Salinity Injury Plants experiencing salinity stress downregulate and shut down photosynthesis mainly due to stomatal closure -REF-; -REF-. | YES
8614786 | Pseudomonas azotoformans | water stress | wheat | In line with the inoculation impact of our culture on Valerianella radiata, the exogenous expression of ACC deaminase by drought-tolerant and biofilm-forming Pseudomonas azotoformans FAP5 improved the growth and biochemical attributes of wheat plants raised in soils at different levels of water stress -REF-. | YES
9075627 | Pseudomonas putida | salinity stress | canola | Inoculation with ACCD-producing bacterium Pseudomonas putida UW4 has been shown to enhance in growth parameters of canola plants under the inhibitory level of salinity stress -REF-. | YES
8001772 | Bacillus amyloliquefaciens | drought | rice | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | YES
10282843 | Trichoderma longibrachiatum SMF2 | thermotolerance | Lanzhou lily | Discussion TKs from Trichoderma longibrachiatum SMF2 enhanced tolerance to HS on Lanzhou lily HS is becoming one of the major limiting factors for food security due to global warming, so it is necessary to take effective measures to improve plant thermotolerance. | YES
9706007 | Planomicrobium chinense | drought tolerance | maize | EPS-producing Planomicrobium chinense and Bacillus cereus showed the ability to improve the sugar and protein content in leaves, and increase the chlorophyll content, chlorophyll fluorescence, and Performance Index PI in maize plants growing under rain-fed conditions, thereby increasing their drought tolerance -REF-, -REF-. | YES
11172717 | Pseudomonas | drought | banana | Moreover, treating banana plants with a Pseudomonas PGPR strain not only increased their resistance to drought and submergence stress but also activated genes linked to the auxin signaling pathway -REF-. | YES
9415082 | Paenibacillus polymyxa | drought tolerance | pepper | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
9706007 | Marinobacter lipolyticus | drought | wheat | inaquosorum and Marinobacter lipolyticus SM19 T on increasing plant resistance to salt and drought stresses by decreasing Na+ uptake and increasing the dry weight of root in wheat. | YES
9213282 | Bacillus pumilus | salt stress | rice | Bacillus pumilus also improves growth performance, chlorophyll and carotenoid content, and antioxidant-mediated defence response in inoculated rice during high salt stress Kumar et al. | YES
9415082 | Bacillus | drought tolerance | pepper | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
8416046 | Pseudomonas oryzihabitans | salt stress | tomato | The present study demonstrated that AXSa06, a Pseudomonas oryzihabitans strain previously isolated from extreme saline ecosystem, able to consume ACC, to produce IAA and siderophores, as well as to solubilize inorganic P Leontidou et al., -REF-, efficiently colonized the rhizosphere of tomato seedlings and promoted plant growth under salt stress. | YES
7917748 | Bacillus | drought tolerance | maize | Pseudomonas induces drought tolerance in mung bean -REF- and salt tolerance in cotton plants -REF-.Bacillus improves drought stress tolerance in maize, promoting better oxidative and water balance -REF-. | YES
9415082 | Pseudomonas | drought-stressed | maize | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
8072474 | Pseudomonas simiae | drought | soybean | Pseudomonas simiae promoted growth and protected soybean plants from damage from drought stress, mainly manifested as changes in the gene expression profiles of drought stress-responsive genes such as DREB2A, EREB, GOLS and P5CS, and secondarily as modulation of phytohormonal signaling altered plant physiology and morphology -REF-. | YES
10252715 | Azospirillum lipoferum | drought stress | maize | The inoculation of maize plants with Azospirillum lipoferum improved plant growth by accumulating free amino acids and soluble sugars compared to untreated plants under drought stress conditions -REF-. | YES
11284086 | Micrococcus yunnanensis | salinity | sugar beet | Three IAA-producing halotolerant PGPMs isolated from halophytes, Micrococcus yunnanensis, Planococcus rifietoensis, and Variovorax paradoxus, have been shown to provide salinity tolerance in sugar beet Supplementary Table 1 -REF-. | YES
8234610 | Pseudomonas putida | high temperature | sorghum | strain AKM-P6 and Pseudomonas putida strain AKM-P7 enhanced the tolerance of sorghum and wheat seedlings to high temperature stress due to the synthesis of high-molecular-weight proteins, and also improved the levels of cellular metabolites -REF-, -REF-. | YES
9415082 | Pseudomonas | drought tolerance | Arabidopsis thaliana | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
11176432 | Bacillaceae | salt tolerance | Reaumuria | This indicates that inoculation with Bacillaceae has positive effects on Reaumuria soongorica growth and salt tolerance. | YES
11361983 | Rhodotorula | heat | Phalaenopsis aphrodite | Under high temperature stress conditions, the structure of the root endophytic microorganisms community in the roots undergoes significant changes, and the enrichment of beneficial microbial communities such as Enterobacteriaceae bacteria and Rhodotorula fungi helps increase Pro content, stabilize the endophytic environment of Phalaenopsis aphrodite roots, enhance the heat resistance of Phalaenopsis aphrodite, and their increased abundance contributes to the production of negative oxygen ions by Phalaenopsis aphrodite. | YES
6841942 | Bacillus velezensis UCMB5113 | cold | wheat | Previously, we showed that Bacillus velezensis UCMB5113 was able to improve wheat tolerance against heat, cold and drought stress conditions -REF-, -REF-, -REF-. | YES
7933552 | Aspergillus aculeatus | heat | perennial ryegrass | Our results provide an evidence of the protective role of Aspergillus aculeatus in perennial ryegrass response to drought and heat stresses. | YES
10433232 | Piriformospora indica | salt tolerance | barley | The root fungal endophyte Piriformospora indica induced drought tolerance in Chinese cabbage -REF- and salt tolerance in barley -REF-, by boosting the levels of antioxidants. | YES
11361983 | Rhodotorula | high temperature | Phalaenopsis aphrodite | Under high temperature stress conditions, the structure of the root endophytic microorganisms community in the roots undergoes significant changes, and the enrichment of beneficial microbial communities such as Enterobacteriaceae bacteria and Rhodotorula fungi helps increase Pro content, stabilize the endophytic environment of Phalaenopsis aphrodite roots, enhance the heat resistance of Phalaenopsis aphrodite, and their increased abundance contributes to the production of negative oxygen ions by Phalaenopsis aphrodite. | YES
9393590 | actinobacteria | saline stress | Nicotiana attenuata | Recently, it was shown that the marine actinobacteria Salinispora arenicola could establish a symbiotic relationship with seedlings of the wild-tobacco Nicotiana attenuata under in vitro conditions -REF- and relieve saline stress during germination and early growth. | YES
8072474 | Dietzia natronolimnaea | salt stress | wheat | Dietzia natronolimnaea STR1 protected wheat plants from salt stress by stimulating the expression of TaST a salt stress-induced gene, and SOS1 and SOS4 salt-sensitive-pathway-related genes, accompanied with enhanced gene expression of various antioxidant enzymes such as APX, MnSOD, CAT, POD, GPX, and GR -REF-. | YES
