9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9608499 | Bacillus | Salt | Triticum aestivum | Moreover, few detailed studies related to salt stress reduction in wheat plants by halophilic Bacillus strains through regulation of salt-resistant genes MYB, DREB2, HKT1 and WRKY17 were reported in the literature -REF-, -REF-. | YES
8082249 | Trichoderma asperellum | Drought | Sugarcane | Sulfur leaf concentration reduced in drought-stressed sugarcane plants, but Trichoderma asperellum inoculation increased the S acquisition by the plants, not differing from treatments without drought stress -REF-. | YES
10745732 | Pseudomonas plecoglossicida | Drought | Triticum aestivum | The observed increase in Chl concentration in wheat plants treated with Pseudomonas plecoglossicida 2,4-D was found to be correlated with a decrease in ABA concentration in plant shoots during water deficit -REF-. | YES
10512251 | Glomus mosseae | Drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
10512251 | Glomus versiforme | Drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
10534068 | Nocardioides | Salt | Triticum aestivum | to enhance wheat growth in saline environments and the molecular mechanisms underlying Nocardioides sp.-mediated salinity tolerance in wheat. | YES
9608499 | Bacillus | Salt | Triticum aestivum | The ABA level was noticed to be high in plants grown under saline conditions but wheat plants inoculated with halophilic strains were observed to have decreased ABA levels for the purpose of mitigating salinity stress that supports the previous findings of ABA level reduction in inoculated Bacillus strains plants facing salt stress -REF-. | YES
8891170 | Aspergillus terreus | Salt | Zea mays | Our current findings indicated that Aspergillus terreus established a more significant symbiotic relationship with maize than rice under saline conditions producing phytohormones, showing the possibility of using endophytic microbe in salt-affected soil. | YES
10512251 | Glomus diaphanum | Drought | Poncirus trifoliata | Glomus mosseae, Glomus versiforme, and Glomus diaphanum endophyte of Poncirus trifoliata also promote drought stress by increasing the peroxidase activity and can also improve the soil textures Wu et al., -REF-. | YES
8416046 | Bacillus amyloliquefaciens | Salt | Zea mays | For instance, overexpression of NHX encoding a tonoplast Na+/H+ antiporter enhanced salt tolerance of Arabidopsis plants Zhang and Blumwald, -REF-, while its expression can be induced by inoculations with Bacillus amyloliquefaciens in maize Chen et al., -REF- and Arabidopsis Liu et al., -REF-, but not in rice Nautiyal et al., -REF-, indicating that transcriptome responses are species-dependent. | YES
9658302 | Streptomyces venezuelae | Salt | Oryza sativa | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain -REF- PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions -REF-. | YES
9658302 | Streptomyces coelicolor | Drought | Triticum aestivum | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain -REF- PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions -REF-. | YES
9658302 | Streptomyces olivaceus | Drought | Triticum aestivum | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain -REF- PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions -REF-. | YES
9428627 | Bacillus | Drought | Zea mays | We propose, based on our results, that the reduced content of proline in stressed and inoculated maize when compared to drought-treated plants might be related to their increased tolerance to drought evoked by the action of Bacillus sp. | YES
7641974 | Bacillus fortis | Salt | Capsicum | A HT-PGPR, Bacillus fortis SSB21, was reported to increase the levels of proline along with a reduction in lipid peroxidation and ROS, alongwith upregulation of stress regulating genes CAPIP2, CaKR1, CaOSM1, and CAChi2 in capsicum under saline conditions 1 and 2 g NaCl kg–1 soil -REF-. | YES
8775878 | Trichoderma harzianum | Drought | Oryza sativa | Trichoderma harzianum significantly increases the ability of rice plants to tolerate drought stress with the explanation that this fungus manipulates stomatal conductance, leaf greenness, and net photosynthesis, decreasing proline, malondialdehyde, and H2O2 contents, and it increases superoxide dismutase levels, plant height, total dry matter, and relative chlorophyll content in rice plants -REF-, -REF-. | YES
8775878 | Trichoderma harzianum | Salt | Oryza sativa | Trichoderma harzianum has the ability to increase rice plants’ resistance to salinity, as under saline conditions, plants treated with this symbiotic fungus showed higher relative water content and more stomatal conductance, a greater rate of photosynthesis, and higher pigment and proline concentrations compared to untreated plants -REF-, -REF-. | YES
10101020 | Kushneria | Salt | Oryza sativa | Importantly, the dominant taxa Kushneria and Bacillus, which are salt tolerant and growth promoting, were isolated from the phyllosphere and rhizosphere, respectively, and verified to have the ability to alleviate salt stress and promote the growth of rice. | YES
10101020 | Bacillus | Salt | Oryza sativa | Importantly, the dominant taxa Kushneria and Bacillus, which are salt tolerant and growth promoting, were isolated from the phyllosphere and rhizosphere, respectively, and verified to have the ability to alleviate salt stress and promote the growth of rice. | YES
9706007 | Burkholderia phytofirmans psjn | Cold | Vitis vinifera | In other studies, Burkholderia phytofirmans PsJN could tolerate cold stress by inducing high concentration of total reducing sugars, glucose, and proline on bacterization of grapevine -REF-, -REF-. | YES
9706007 | Pseudomonas | Cold | Triticum aestivum | Bacterization of wheat with psychrotolerant Pseudomonas at cold temperature alleviated cold stress by improving chlorophyll, anthocyanin, free proline, total phenolics, starch content, physiologically available iron, proteins, and amino acids. | YES
8869449 | Bacillus subtilis | Drought | Solanum tuberosum | Similarly, PGPR alleviated drought stress in potato Solanum tuberosum L. plants treated with Bacillus subtilis HAS31 by maintaining higher photosynthetic processes, total soluble sugars, proteins and prolines with elevated activity of POX, CAT, and SOD -REF-. | YES
8072474 | Trichoderma | Drought | Oryza sativa | Other studies have demonstrated the ability of Trichoderma to improve drought tolerance in rice by modulating proline, superoxide dismutase, and lipid peroxidation products and altering the transcript level of dehydrins-related genes such as LOC_Os01g50700, LOC_Os02g44870, and LOC_Os11g26750 -REF-. | YES
10255858 | Enterobacter | Salt | Solanum lycopersicum | The alleviation of salt stress symptoms in Solanum lycopersicum matched with an increase in proline content after the inoculation of Enterobacter 64S1 and Pseudomonas 42P4 -REF-. | YES
8924888 | Bacillus megaterium | Drought | Triticum aestivum | Two of the isolated endophytes, Bacillus megaterium and Bacillus licheniformis, were reported to induce drought tolerance in wheat under drought stress, at least partly by enhancing proline level -REF-. | YES
10097229 | Rahnella aquatilis | Salt | Acacia | mVOCs from Rahnella aquatilis JZ-GX1 ameliorated the salt stress effects on acacia seedlings by a decrease in malondialdehyde, superoxide anion and hydrogen peroxide content, and an increase in the proline level, superoxide dismutase, peroxidase and glutathione reductase activities -REF-. | YES
7344409 | Pseudomonas putida | Drought | Cicer arietinum | In 2016, Tiwari -REF- examined the role of Pseudomonas putida MTCC5279 inoculated in Cicer arietinum plants and showed positive actions against drought stress, including modulation and maintenance of membrane integrity, the accumulation of osmolites proline, glycine betaine, the ability to wash ROS with transcription of the SOD, CAT genes, APX, and glutathione-S-transferase GST, the differential expression of genes involved in the biosynthesis of ethylene, salicylic acid, the activation of jasmonic acid, and the greater production of late embryogenesis abundant LEA proteins and dehydrins DHN. | YES
11284086 | Stenotrophomonas maltophilia | Salt | Peanut | Similarly, the application of salt-tolerant Stenotrophomonas maltophilia BJ01 enhanced proline accumulation in peanut plants, providing salinity tolerance -REF-. | YES
11284086 | Paecilomyces formosus | Salt | Cucumis sativus | Additionally, the GA-producing endophytic fungus, Paecilomyces formosus, provided salinity tolerance in cucumber by reducing stress hormone ABA and enhancing the accumulation of antioxidants and proline -REF-. | YES
9693749 | Paraconiothyrium | Drought | Cicer arietinum | The study on Paraconiothyrium SMCD 2210 highlights endosymbiotic plant growth promotion and alleviation of abiotic stress and ROS accumulation in germinating pea and chickpea seeds in plants grown under drought stress conditions, and so in addition to down-regulation of proline gene expression -REF-, -REF-. | YES
6780275 | Bacillus amyloliquefaciens | Drought | Oryza sativa | The results of the present study indicate that wheat plants exposed to cold stress had an increased level of accumulated proline and decreased MDA level upon inoculation with cold tolerant bacteria and our results conform to those of -REF- as they also reported the same when they inoculated Bacillus amyloliquefaciens in rice to alleviate drought and salinity stress. | YES
8869415 | Bacillus cereus | Salt | Mungbean | For example, mungbean inoculated with Bacillus cereus Pb25 showed an increase in salt tolerance as a result of a higher proline level as compared to non-inoculated control under 9 dS m−1 NaCl -REF-. | YES
11284086 | Bacillus firmus | Salt | Glycine max | In soybeans, inoculation of Bacillus firmus SW5 not only increased the accumulation of osmoprotectants like glycine betaine and proline but also enhanced root architectural traits, including root length and volume, thereby improving salinity tolerance -REF-. | YES
9658302 | Streptomyces geysiriensis | Drought | Triticum aestivum | Moreover, overexpression of acdS in Streptomyces venezuelae significantly boosted the salt tolerance of rice by increasing proline and reducing ethylene and Na+ content compared with that of the original strain -REF- PGP Streptomyces coelicolor DE07, Streptomyces olivaceus DE10, and Streptomyces geysiriensis DE27 were reported to promote the growth of wheat under water stress conditions -REF-. | YES
