9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
9828629 | Aspergillus aculeatus | drought | Zea mays | To give just a few examples, severe drought stress significantly reduced the Serendipita indica‐mediated root growth promotion on Zea mays plants Zhang et al., -REF-, while high salt conditions minimized the root growth promoting effect of Aspergillus aculeatus endophytes on Cynodon dactylon plants Xie et al., -REF-. | NO
11233480 | RNA viruses | drought | Tobacco | For instance, the first descriptions of a virus-dependent increase in plant tolerance to drought have been associated with RNA viruses such as Bromovirus Brome mosaic virus BMV, Cucumovirus Cucumber mosaic virus CMV, TMV, and Tobravirus Tobacco rattle virus TRV Xu et al. | NO
8426455 | Actinobacteria | drought | rice | Such strategies may include: 1 the discovery and inoculation of plant growth-promoting microbes into agricultural fields, such as the phyla Actinobacteria and Fusobacteria, the genus Streptomyces; 2 the manipulation of crop genetic pathways that regulate microbiota homeostasis, such as the genes that regulate roots exuding complex carbon compounds, could lead to a more beneficial and drought-resilient microbiota, which could, in turn, improve the performance of natural ecosystems and crops; 3 the closer interconnections of drought-negative responsive taxa used as an important microbial trait to screen excellent drought-tolerant rice; 4 the management of soil microbiota through agricultural practices that promote plant drought tolerance. | NO
9686006 | Rhizobium leguminosarum | drought | wheat | This work analyzed the mechanisms involved in drought stress alleviation exerted by Rhizobium leguminosarum strains in wheat plants under water shortage conditions. | NO
9428627 | Glomus | drought-stressed | maize | The analyses have been done on leaves from non-treated plants control, drought-stressed plants, and drought-stressed maize developed from seeds inoculated with Glomus sp. | NO
9428627 | Glomus | drought-stressed | maize | Reactions with monoclonal antibody JIM5 were made on leaf sections cut from drought-stressed maize treated at the seed stage with Glomus sp. | NO
10785826 | Azospirillum brasilense | salt | rice | We identified 1387 DEGs in rice roots exposed to salt stress 200 mM NaCl and treated with Azospirillum brasilense, seven dpt -REF-. | NO
9995459 | Sphingomonas | drought | alfalfa | However, after drought stress, Sphingomonas and Massilia had high LDA scores in AH and QS rhizosphere soils, respectively -REF-, pointing to their potential value as novel biomarkers for screening plant growth-promoting rhizobacteria PGPR of two alfalfa varieties under drought conditions. | NO
10516563 | Achromobacter | salt | rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
11359853 | Septoglomus constrictum | heat | tomato | In this study, we report the interaction between an arbuscular mycorrhizal fungus, Septoglomus constrictum, and tomato plants under heat stress. | NO
9608499 | Bacillus | saline conditions | wheat | Expression Analysis of Growth and Salt Related Genes in Wheat The expression of genes related to growth promotion and salt resistance in wheat plants under saline conditions were analysed in the presence of Bacillus strains NMCN1, LLCG23 and FZB42. | NO
8551617 | Pseudomonas aeruginosa | drought | Arabidopsis | Treatment with the Pseudomonas aeruginosa O6 mutant, which is unable to synthesize 2,3-butanediol, did not improve drought stress tolerance in Arabidopsis compared with the wild-type strain. | NO
10440431 | Rhizophagus irregularis | cold | Erica nutans | Therefore, in this study, Rhizophagus irregularis was used to explore the mechanism regulating cold resistance of Erica nutans. | NO
9961515 | Phytophthora infestans | salinity | Tomato | Therefore, we analyzed and compared the transcriptomic responses of resistant and susceptible genotypes to seven biotic stresses Cladosporium fulvum, Phytophthora infestans, Pseudomonas syringae, Ralstonia solanacearum, Sclerotinia sclerotiorum, Tomato spotted wilt virus TSWV and Tuta absoluta and five abiotic stresses drought, salinity, low temperatures, and oxidative stress to identify genes involved in response to multiple stressors. | NO
9658302 | Dermacoccus abyssi | salt | tomato | Similarly, genome analysis of a salt-tolerant deep-sea actinobacterium, Dermacoccus abyssi MT1.1T, was conducted to understand PGP and salt stress mitigation in tomato seedlings -REF-. | NO
10785826 | Azospirillum brasilense | salt | rice | In this study, we focused on genes previously implicated in salt response and tolerance in rice and rice- Azospirillum brasilense interaction and compared their expression profiles across the treatments. | NO
11208634 | Bacillus | salt | rice | However, there is limited research on the specific roles of Bacillus species in alleviating oxidative stress in rice plants under salt stress conditions. | NO
10516563 | Staphylococcus | salt | wild rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
10516563 | Bacillus | salt | wild rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
9205400 | Periconia macrospinosa | salt | barley | The present study is therefore focused on the possible role of three halotolerant endophytic fungi, i.e., Periconia macrospinosa, Neocamarosporium goegapense, and N. chichastianum, isolated from roots of salt lake plants growing in the central desert of Iran, in alleviating the adverse effects of salinity and drought stresses on barley under greenhouse conditions. | NO
11509602 | Arabia | saline conditions | Calamus ciliaris | However, to our knowledge, no similar study has been conducted to explore the AMF symbiosis potential in improving the performance of Calamus ciliaris under saline conditions in Saudi Arabia. | NO
8184954 | Bacillus | drought | wheat | Notably, Paenibacillus and Bacillus species isolated from moderate drought environments did not increase drought tolerance in wheat -REF-, -REF-. | NO
6898677 | Penicillium | drought | wheat | The Next Generation Sequencing NGS technology was employed for mapping core seed endophyte mycobiomes in wheat including host-mediated and subsequent-generations mycobiome selection under drought stress modified by Penicillium inoculation into seed. | NO
9205400 | Neocamarosporium goegapense | drought | barley | The present study is therefore focused on the possible role of three halotolerant endophytic fungi, i.e., Periconia macrospinosa, Neocamarosporium goegapense, and N. chichastianum, isolated from roots of salt lake plants growing in the central desert of Iran, in alleviating the adverse effects of salinity and drought stresses on barley under greenhouse conditions. | NO
8082249 | Trichoderma asperellum | drought | sugarcane | The treatments consisted of sugarcane seedlings inoculated with water control treatment or with Trichoderma asperellum isolates-GF 332 and grown under conditions of adequate water availability field capacity and moderate drought stress 50% available water capacity AWC. | NO
10785826 | Azospirillum brasilense | salt | rice | Overall, these findings signify that regulation of phytohormone pathways in rice roots is essential for maintaining the beneficial association with Azospirillum brasilense and improving plant growth under salt stress. | NO
10326438 | Pseudomonas mandelii | salt | pea | However, the authors showed that there was no such accumulation in pea plants inoculated with Pseudomonas mandelii IB-Ki14, which led them to suggest that these salt stress-alleviating effects may be ABA-independent -REF-. | NO
9687558 | Streptomyces acidiscabies | saline conditions | potatoes | Still, Streptomyces acidiscabies, belonging to the Actinobacteria phylum, a bacterium causing scab disease in potatoes, grew a nominal amount in saline conditions -REF-. | NO
10681223 | Metarhizium | water stress | maize | Relationship between water stress, endophytic colonization, and plant growth There were no significant differences due to water or Metarhizium treatment in foliar chlorophyll content, relative water content, or infrared temperature of maize foliage. | NO
9687558 | Marinobacter algicola | saline conditions | palms | A bacterial strain of the genus Marinobacter i.e., Marinobacter algicola is an endophytic bacterium previously identified in date palms under saline conditions -REF-. | NO
8869415 | Dermacoccus | salt | tomato | Previously, the inoculation of other Dermacoccus strains, Dermacoccus barathri MT2.1T and Desulfosoma profundi MT2.2T, did not result in an increase in total soluble sugar in tomato seedlings under salt stress -REF-. | NO
8184954 | Gammaproteobacteria | drought | wheat | Previous studies of the wheat microbiome under drought stress have not observed the marked depletion in Gammaproteobacteria observed across wheat lines in this study. | NO
8076752 | Trichoderma harzianum | drought | rice | However, there is a complete lack of study related to transcriptome profiling in the association of Trichoderma harzianum with rice cultivars in drought stress modulation. | NO
